Episode,Total Reward,Steps,Loss
494,84,132,0.6376599251772418
495,16,16,0.48336852714419365
496,38,66,0.5862622983527906
497,4,4,0.5728309750556946
498,571,1066,0.31229878681769513
499,649,1059,0.24588663107077957
500,86,132,0.2568248124849616
501,16,16,0.2086055325344205
502,324,529,0.6035195693007489
503,4,4,0.36280523613095284
504,284,534,0.31540193407332406
505,655,1057,0.281183214475777
506,6,17,0.2002326999517048
507,2,2,0.22500424832105637
508,-4,18,0.2783794891503122
509,633,1060,0.2662388633233759
510,96,131,0.26733302853944646
511,304,532,0.2503051345229597
512,4,4,0.9715008586645126
513,32,32,1.0723526366055012
514,8,8,0.9325426667928696
515,4,4,0.8690054267644882
516,2,2,0.8169461190700531
517,8,8,0.9964357390999794
518,4,4,0.7673870921134949
519,382,524,0.5434504997354882
520,609,1062,0.2873826026425411
521,649,1058,0.25937914421574154
522,22,33,0.8856133674130295
523,645,1058,0.48261844640023766
524,54,65,0.29426460953859185
525,138,267,0.2692875736829047
526,643,1059,0.26110395343096554
527,176,264,0.25672704667191615
528,236,538,0.32565763465312336
529,22,33,0.25439436598257587
530,172,264,0.31179277644012915
531,178,263,0.24605885473834244
532,326,530,0.6696949415330616
533,174,264,0.3101390167845018
534,16,16,0.32505952659994364
535,8,8,0.3830195236951113
536,354,527,0.28163312847745486
537,8,8,0.27549776062369347
538,4,4,0.23905840516090393
539,42,66,0.34927826216726593
540,8,8,0.22080641239881516
541,2,2,0.24478140473365784
542,6,17,0.7083691849428064
543,4,4,0.7300449758768082
544,647,1058,0.4329099382057307
545,4,4,0.5582063794136047
546,174,264,0.28517757316656184
547,8,8,0.21763967536389828
548,16,16,0.2167675532400608
549,8,8,0.22967250645160675
550,344,528,0.2601536409506066
551,2,2,0.1915811002254486
552,98,131,0.878295482797477
553,296,532,0.4764558579352565
554,122,269,0.32159603074137605
555,182,263,0.3378224723012728
556,2,2,0.44076184928417206
557,62,64,0.28816017624922097
558,44,66,0.2945641362757394
559,16,16,0.4209273341111839
560,8,8,0.2925868257880211
561,665,1055,0.2466005319738275
562,196,261,0.7226844094265467
563,16,16,0.503986669704318
564,364,526,0.39911952858415395
565,140,267,0.3065858810916822
566,651,1057,0.262112107843358
567,237,330,0.2903479147363793
568,2,2,0.2110418677330017
569,6,17,0.2657029738321024
570,22,33,0.22809117806680274
571,22,68,0.2809137192499988
572,8,8,0.9045142009854317
573,4,4,0.9473986774682999
574,206,261,1.1536674805527902
575,32,32,0.5883170766755939
576,322,530,0.45892493062705364
577,8,8,0.4226757287979126
578,4,4,0.22476805374026299
579,44,66,0.36938522485169495
580,4,4,0.3014185279607773
581,4,4,0.29394054040312767
582,72,133,0.7656416115456057
583,2,2,0.7687572538852692
584,2,2,0.9180614650249481
585,96,131,0.7017186729962589
586,68,134,0.47545257277453123
587,8,34,0.4088139130788691
588,6,17,0.4724205486914691
589,8,8,0.4868026562035084
590,8,8,0.39157041907310486
591,4,4,0.3936926946043968
592,2,2,0.8655661344528198
593,16,16,0.7751793656498194
594,20,33,0.8134462616660378
595,32,32,0.6325241252779961
596,4,4,0.5902813076972961
597,4,4,0.7855980843305588
598,8,8,0.7047641202807426
599,202,261,0.6059158923982204
600,88,132,0.4015263549306176
601,84,132,0.3698550353221821
602,404,522,0.6162776427479083
603,2,2,0.4116910994052887
604,673,1056,0.3461591113838508
605,362,526,0.3565150483479518
606,22,33,0.29979237417380017
607,22,33,0.40577400453162915
608,44,66,0.3475856679407033
609,86,132,0.34649580920284445
610,20,33,0.34652287625905237
611,4,4,0.22332989051938057
612,20,33,1.0007457155169863
613,8,8,1.0378011614084244
614,32,67,1.0048543108043386
615,667,1056,0.46160170768218284
616,2,2,0.1727687418460846
617,2,2,0.2099282070994377
618,8,8,0.3430893402546644
619,741,1050,0.306960763775167
620,54,65,0.3168235898017883
621,6,17,0.4045495469780529
622,44,66,1.1805336619868423
623,687,1054,0.507380544460702
624,685,1055,0.33906662947193705
625,108,130,0.3357851982116699
626,10,34,0.2978096332620172
627,2,2,0.25981923192739487
628,32,67,0.3051405709181259
629,2,2,0.33370447903871536
630,82,132,0.3592266915648272
631,8,8,0.28581238351762295
632,4,4,1.3270635306835175
633,396,523,0.7317890265019856
634,16,16,0.4075099229812622
635,104,130,0.4056572837325243
636,140,267,0.33557392528441066
637,8,8,0.2779657542705536
638,8,8,0.30567132867872715
639,78,133,0.36787601229839756
640,2,2,0.3805703818798065
641,200,261,0.3726260968665967
642,705,1053,0.5399271824307817
643,32,32,0.3062690435908735
644,16,16,0.3781864419579506
645,4,4,0.40860141813755035
646,6,17,0.3209073385771583
647,154,266,0.30038523153030783
648,4,4,0.4065387025475502
649,370,525,0.31504790795700893
650,2,2,0.3183492422103882
651,12,34,0.3312335093231762
652,160,265,0.9055446841806736
653,332,493,0.5188354004106464
654,16,16,0.39112106151878834
655,2,2,0.39486151933670044
656,12,34,0.4214111811974469
657,2,2,0.21963534504175186
658,64,64,1.0830067051574588
659,2,2,0.5234186500310898
660,16,16,0.6207733675837517
661,4,4,0.39333464205265045
662,28,67,1.1000608001182328
663,32,32,1.0923746936023235
